epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.08538898825645447,0.9146110415458679,0.09709285199642181,0.9029070734977722
1,0.09101524204015732,0.9089847803115845,0.1031142994761467,0.8968857526779175
2,0.09521762281656265,0.9047821760177612,0.10548386722803116,0.8945160508155823
3,0.09824535995721817,0.9017540812492371,0.10821714252233505,0.8917828798294067
4,0.10132783651351929,0.8986721038818359,0.11208824813365936,0.8879117369651794
5,0.10409508645534515,0.8959048986434937,0.10638721287250519,0.893612802028656
6,0.10576730221509933,0.8942327499389648,0.10687143355607986,0.8931286931037903
7,0.10864491015672684,0.8913549780845642,0.11846581846475601,0.881534218788147
8,0.11095407605171204,0.8890456557273865,0.12268508225679398,0.8773149847984314
9,0.11255611479282379,0.8874439001083374,0.12183690071105957,0.8781630396842957
10,0.1147126778960228,0.8852875828742981,0.12517590820789337,0.8748241662979126
11,0.11737418919801712,0.8826257586479187,0.1301032155752182,0.8698967695236206
12,0.12088429927825928,0.8791159391403198,0.1281854808330536,0.8718143701553345
13,0.12271939963102341,0.8772802352905273,0.13169409334659576,0.868306040763855
14,0.12525469064712524,0.8747451901435852,0.13588696718215942,0.8641130328178406
15,0.12714655697345734,0.8728535771369934,0.13817888498306274,0.8618208169937134
16,0.12885938584804535,0.8711405992507935,0.13993921875953674,0.8600608110427856
17,0.13002437353134155,0.8699758052825928,0.14010022580623627,0.8598998188972473
18,0.13032859563827515,0.869671106338501,0.14048786461353302,0.8595123291015625
19,0.13349692523479462,0.8665030002593994,0.14329276978969574,0.8567073941230774
20,0.13545554876327515,0.8645440936088562,0.1467372477054596,0.8532629013061523
21,0.1364627629518509,0.8635373711585999,0.14912204444408417,0.8508780598640442
22,0.13735821843147278,0.8626416921615601,0.15043006837368011,0.8495699167251587
23,0.13891802728176117,0.861082136631012,0.15110409259796143,0.8488959074020386
24,0.14052921533584595,0.8594708442687988,0.00697223050519824,0.9930281639099121
25,0.14137396216392517,0.8586256504058838,0.15409429371356964,0.8459054827690125
26,0.14272716641426086,0.857272744178772,0.15342065691947937,0.8465794920921326
27,0.14396460354328156,0.8560357689857483,0.15369249880313873,0.846307635307312
28,0.14482481777668,0.8551753163337708,0.15754768252372742,0.842452347278595
29,0.14530442655086517,0.8546957969665527,0.1584058254957199,0.8415941596031189
30,0.14680370688438416,0.8531962633132935,0.1593162566423416,0.8406839966773987
31,0.14651034772396088,0.853489875793457,0.16022181510925293,0.8397783041000366
32,0.14806723594665527,0.8519328236579895,0.16102908551692963,0.8389708399772644
33,0.14831417798995972,0.8516857028007507,0.16111372411251068,0.8388862609863281
34,0.14931538701057434,0.8506847023963928,0.16288183629512787,0.8371182084083557
35,0.15013909339904785,0.8498612642288208,0.1612153798341751,0.8387848734855652
36,0.15113899111747742,0.8488610982894897,0.1634730100631714,0.8365269303321838
37,0.15176686644554138,0.8482332825660706,0.16131147742271423,0.8386883735656738
38,0.15215563774108887,0.8478443622589111,0.16223512589931488,0.8377648591995239
39,0.15491390228271484,0.8450859785079956,0.16134902834892273,0.8386507630348206
40,0.152117058634758,0.8478829860687256,0.16604925692081451,0.8339508175849915
41,0.1530482918024063,0.8469517827033997,0.16602495312690735,0.8339750170707703
42,0.15431319177150726,0.8456868529319763,0.16744732856750488,0.8325526118278503
43,0.15513160824775696,0.8448686599731445,0.15850010514259338,0.8414999842643738
44,0.1510467380285263,0.8489532470703125,0.16721998155117035,0.8327800631523132
45,0.15543663501739502,0.8445636034011841,0.16205035150051117,0.8379495739936829
46,0.15906193852424622,0.8409382700920105,0.16862091422080994,0.8313793540000916
47,0.16824017465114594,0.8317596912384033,0.17394013702869415,0.8260598182678223
48,0.17248457670211792,0.8275151252746582,0.1749371439218521,0.8250628709793091
49,0.17370429635047913,0.826295793056488,0.17336781322956085,0.8266322016716003
